tmdb_id,title,original_title,overview,genres,actors,directors,keywords,release_date,poster_path,vote_average,vote_count,popularity,original_language,last_updated
534530,Aravinda Sametha Veera Raghava,అరవింద సమేత... వీర రాఘవ,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,"[""Action"", ""Drama""]","[""N.T. Rama Rao Jr."", ""Pooja Hegde"", ""Jagapati Babu"", ""Naveen Chandra"", ""Eesha Rebba"", ""Sunil Varma"", ""Brahmaji"", ""Shatru""]","[""Trivikram Srinivas""]",[],2018-10-11,/wKuOZdP0i6hlv5veDAUSBZ2mUaK.jpg,7.2,34,4.9575,te,2026-04-02T18:16:43.627250
1363974,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,劇場版 転生したらスライムだった件 蒼海の涙編,"After concluding the opening ceremony of the Demon Kingdom Federation Tempest, Rimuru and his companions are invited by the Celestial Emperor Hermesia of the great elven nation – the Magi Dynasty Salion – to visit her private resort island. As the group enjoys their brief vacation, a mysterious woman named Yura appears. A new incident unfolds against the backdrop of the boundless azure sea.","[""Animation"", ""Fantasy"", ""Adventure"", ""Comedy""]","[""Miho Okasaki"", ""Mao Ichimichi"", ""Tomoaki Maeno"", ""Makoto Furukawa"", ""Sayaka Senbongi"", ""Hisako Kanemoto"", ""Koichi Domoto"", ""Saori Onishi""]","[""Yasuhito Kikuchi""]","[""monster"", ""magic"", ""slime"", ""shounen"", ""anime"", ""isekai""]",2026-02-27,/oblkRIWuKTF46CsnLhBiE7Otn3z.jpg,0.0,0,3.6201,ja,2026-04-02T18:16:44.042276
11,Star Wars,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"[""Adventure"", ""Action"", ""Science Fiction""]","[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Peter Cushing"", ""Alec Guinness"", ""Anthony Daniels"", ""Kenny Baker"", ""Peter Mayhew""]","[""George Lucas""]","[""empire"", ""galaxy"", ""rebellion"", ""android"", ""hermit"", ""smuggling (contraband)"", ""freedom"", ""rebel"", ""rescue mission"", ""space"", ""planet"", ""desert"", ""super power"", ""oppression"", ""space opera"", ""wizard"", ""totalitarianism""]",1977-05-25,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,8.201,22109,27.8456,en,2026-04-02T18:16:44.457124
13,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[""Comedy"", ""Drama"", ""Romance""]","[""Tom Hanks"", ""Robin Wright"", ""Gary Sinise"", ""Sally Field"", ""Mykelti Williamson"", ""Michael Conner Humphreys"", ""Hanna Hall"", ""Haley Joel Osment""]","[""Robert Zemeckis""]","[""new year's eve"", ""vietnam war"", ""vietnam veteran"", ""mentally disabled"", ""friendship"", ""usa president"", ""washington dc, usa"", ""post-traumatic stress disorder (ptsd)"", ""waitress"", ""based on novel or book"", ""hippie"", ""single parent"", ""parent child relationship"", ""optimism"", ""1970s"", ""drug addiction"", ""autism"", ""alabama"", ""black panther party"", ""bus stop""]",1994-06-23,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,8.463,29453,21.7925,en,2026-04-02T18:16:44.834957
26638,Red Desert,Il deserto rosso,"In an industrializing Italian town, a married woman, rendered mentally unstable after a traffic accident, drifts into an affair with a friend of her husband.","[""Drama""]","[""Monica Vitti"", ""Richard Harris"", ""Carlo Chionetti"", ""Xenia Valderi"", ""Rita Renoir"", ""Lili Rheims"", ""Aldo Grotti"", ""Valerio Bartoleschi""]","[""Michelangelo Antonioni""]","[""adultery"", ""depression"", ""factory"", ""husband wife relationship"", ""italy"", ""fog"", ""loneliness"", ""mother son relationship""]",1964-09-04,/rGcTVdyhaGzMxPPRVApXre6F7SD.jpg,7.321,502,1.5798,it,2026-04-02T18:16:45.486749
878608,Resurrection,狂野时代,"In a future where humanity has surrendered its ability to dream in exchange for immortality, an outcast finds illusion, nightmarish visions, and beauty in an intoxicating world of his own making.","[""Science Fiction"", ""Drama""]","[""Jackson Yee"", ""Shu Qi"", ""Mark Chao"", ""Li Gengxi"", ""Huang Jue"", ""Chen Yongzhong"", ""Zhang Zhijian"", ""Chloe Maayan""]","[""Bi Gan""]","[""experimental cinema""]",2025-11-22,/4asJAxshXzQriox6tnIoEnWN1nu.jpg,6.7,49,7.1712,zh,2026-04-02T18:16:45.845499
372754,Dou kyu sei – Classmates,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.","[""Romance"", ""Animation""]","[""Kenji Nojima"", ""Hiroshi Kamiya"", ""Hideo Ishikawa"", ""Yurino""]","[""Shoko Nakamura""]","[""high school"", ""boys' choir"", ""coming of age"", ""slice of life"", ""based on manga"", ""school life"", ""anime"", ""japanese high school"", ""loving"", ""gay theme"", ""boys' love (bl)"", ""high school life""]",2016-02-20,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,8.302,431,5.3018,ja,2026-04-02T18:16:46.374268
19,Metropolis,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.","[""Drama"", ""Science Fiction""]","[""Gustav Fr\u00f6hlich"", ""Brigitte Helm"", ""Alfred Abel"", ""Rudolf Klein-Rogge"", ""Theodor Loos"", ""Fritz Rasp"", ""Erwin Biswanger"", ""Heinrich George""]","[""Fritz Lang""]","[""future"", ""metropolis"", ""class society"", ""man vs machine"", ""underground world"", ""tower of babel"", ""based on novel or book"", ""inventor"", ""dystopia"", ""delirium"", ""mad scientist"", ""prophet"", ""steampunk"", ""grim reaper"", ""black and white"", ""robot"", ""destruction"", ""silent film"", ""nostalgic"", ""expressionism""]",1927-01-10,/kr9wXRN23zLuWJIelahas1mtnYj.jpg,8.091,3062,3.9443,de,2026-04-02T18:16:46.880921
1110034,Kraken,Kraken,"Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab.","[""Horror"", ""Action"", ""Thriller""]","[""Sara Khorami"", ""Mikkel Bratt Silset"", ""Ingvild Holthe Bygdnes"", ""\u00d8yvind Brandtz\u00e6g"", ""Jenny Evensen"", ""Steinar Klouman Hallert"", ""Filip Bargee Ramberg"", ""Jon Erik Myre""]","[""P\u00e5l \u00d8ie""]","[""sea monster"", ""norwegian folklore""]",2026-02-06,/jVsflOu9WpMqUJ3WwVX2mITi86S.jpg,6.2,8,30.2073,no,2026-04-02T18:16:47.234991
1654802,Return from Tomorrow,Return from Tomorrow,"Randy Moore’s follow-up to the (in)famously filmed-in-secret Disney World fever-dream Escape from Tomorrow is an absurdist paranoid conspiracy thriller featuring the original cast in a completely new scenario. After the loss of his father, a middle-aged dad spirals into a Lynchian crisis of masculinity while on family vacation in Miami. As his inadequacies and unspoken desires drift him further away from his wife, he uncovers a mysterious plot involving his father, the gas company, cocaine, prostitution, and . . . Walt?","[""Thriller""]","[""Roy Abramsohn"", ""Elena Schuber"", ""Udo Kier""]","[""Randy Moore""]",[],2026-04-11,,0.0,0,2.2205,en,2026-04-02T18:16:47.646174
